4 4
2 4 1
3 2 1
4 1 1
1 3 1
4 4
2 4 1
2 3 1
4 1 1
1 3 1
4 5
2 4 1
2 3 1
4 1 1
2 1 1
1 3 1
6 9
1 2 1
1 3 1
1 5 1
2 5 1
3 2 1
3 6 2
4 2 1
5 4 1
6 1 1
6 9
1 2 1
1 3 1
1 5 1
2 5 1
3 2 2
3 6 1
4 2 1
5 4 1
6 1 1
6 9
1 2 1
1 3 2
1 5 1
2 5 2
3 2 1
3 6 2
4 2 2
5 4 2
6 1 2
15 36
8 9 2
10 9 2
5 4 2
1 4 2
12 15 2
12 11 2
3 7 1
4 8 1
2 10 1
12 6 1
7 10 2
6 10 2
14 13 2
4 3 2
7 9 2
11 15 2
1 3 2
6 8 2
14 11 2
13 11 2
5 3 2
13 15 2
6 9 2
5 2 2
11 9 1
15 10 1
1 15 1
2 13 1
4 12 1
8 10 2
7 6 2
1 2 2
13 12 2
14 15 2
2 4 2
5 1 2
15 36
8 9 2
10 9 2
5 4 2
1 4 2
12 15 2
12 11 2
3 7 1
8 4 1
2 10 1
12 6 1
7 10 2
6 10 2
14 13 2
4 3 2
7 9 2
11 15 2
1 3 2
6 8 2
14 11 2
13 11 2
5 3 2
13 15 2
6 9 2
5 2 2
11 9 1
15 10 1
1 15 1
2 13 1
4 12 1
8 10 2
7 6 2
1 2 2
13 12 2
14 15 2
2 4 2
5 1 2
15 36
8 9 2
10 9 2
5 4 2
1 4 2
12 15 2
12 11 2
3 7 1
4 8 2
2 10 1
12 6 1
7 10 2
6 10 2
14 13 2
4 3 2
7 9 2
11 15 2
1 3 2
6 8 2
14 11 2
13 11 2
5 3 2
13 15 2
6 9 2
5 2 2
11 9 1
15 10 1
1 15 1
2 13 1
4 12 1
8 10 2
7 6 2
1 2 2
13 12 2
14 15 2
2 4 2
5 1 2
8 8
1 2 2
2 3 2
3 4 2
4 1 2
5 6 2
6 7 2
7 8 2
8 5 2
8 8
1 2 1
2 3 1
3 4 1
4 1 1
5 6 1
6 7 1
7 8 1
8 5 1
8 10
1 2 1
2 3 1
3 4 1
4 1 1
5 6 1
6 7 1
7 8 1
8 5 1
3 7 1
4 8 1
8 10
1 2 1
2 3 1
3 4 1
4 1 1
5 6 1
6 7 1
7 8 1
8 5 1
3 7 1
8 4 1
5 7
1 2 1
1 3 1
1 4 1
1 5 1
2 3 1
3 5 1
4 5 2
6 6
1 2 1
2 3 1
3 1 1
4 5 1
5 6 1
6 4 1
300 44850
279 228 2
26 6 2
46 269 2
59 247 2
230 254 2
136 2 2
113 294 2
184 278 2
16 149 2
255 247 2
173 123 2
222 111 2
75 133 2
254 282 2
299 95 2
45 296 2
143 216 2
291 209 2
298 258 2
185 57 2
64 10 2
91 267 2
155 149 2
295 255 2
11 74 2
154 208 2
167 181 2
125 82 2
80 181 2
106 6 2
152 270 2
144 95 2
299 35 2
164 280 2
59 26 2
214 245 2
276 266 2
259 293 2
144 237 2
276 231 2
41 155 2
187 15 2
25 273 2
65 293 2
210 75 2
81 227 2
35 173 2
56 168 2
93 83 2
21 54 2
165 157 2
231 272 2
96 95 2
2 283 2
297 57 2
164 103 2
154 214 2
230 131 2
77 149 2
223 188 2
19 236 2
284 173 2
56 283 2
145 234 2
125 22 2
200 296 2
292 25 2
164 271 2
233 88 2
58 3 2
208 48 2
278 207 2
46 157 2
83 236 2
64 13 2
56 235 2
226 58 2
61 239 2
299 231 2
40 176 2
40 187 2
95 285 2
300 114 2
28 211 2
222 252 2
101 293 2
183 141 2
100 98 2
265 266 2
236 39 2
67 96 2
274 11 2
80 8 2
14 162 2
143 53 2
119 29 2
260 244 2
96 223 2
107 133 2
284 176 2
269 223 2
88 156 2
134 251 2
297 47 2
44 10 2
199 188 2
139 9 2
56 104 2
136 250 2
192 276 2
79 176 2
289 280 2
161 42 2
101 278 2
124 251 2
165 13 2
151 183 2
158 279 2
224 27 2
82 258 2
187 251 2
273 158 2
96 48 2
270 10 2
168 130 2
81 30 2
154 58 2
291 256 2
168 263 2
246 163 2
95 263 2
195 126 2
110 156 2
135 193 2
209 218 2
121 73 2
265 155 2
172 143 2
220 140 2
198 11 2
64 254 2
285 99 2
3 293 2
291 289 2
226 283 2
250 51 2
78 58 2
57 203 2
204 103 2
80 55 2
288 251 2
16 99 2
26 288 2
170 266 2
106 285 2
264 1 2
297 156 2
294 272 2
240 185 2
89 35 2
269 158 2
208 263 2
195 190 2
176 256 2
227 146 2
115 289 2
255 178 2
80 118 2
272 74 2
231 118 2
158 289 2
46 1 2
189 249 2
261 178 2
65 213 2
11 159 2
184 119 2
59 295 2
105 133 2
153 33 2
255 88 2
250 13 2
78 143 2
49 219 2
179 251 2
50 35 2
205 233 2
170 101 2
10 120 2
43 207 2
257 238 2
194 202 2
235 289 2
147 242 2
192 53 2
97 294 2
172 87 2
138 170 2
50 293 2
265 44 2
86 169 2
95 279 2
69 199 2
254 41 2
197 99 2
211 289 2
281 268 2
4 259 2
296 238 2
231 93 2
80 229 2
30 172 2
116 246 2
6 42 2
97 9 2
7 252 2
154 127 2
240 117 2
38 88 2
9 57 2
112 288 2
1 191 2
221 207 2
177 135 2
23 68 2
196 148 2
80 209 2
224 10 2
9 162 2
276 261 2
64 175 2
91 285 2
119 212 2
33 158 2
283 268 2
161 48 2
44 282 2
16 101 2
195 193 2
172 137 2
292 281 2
144 169 2
195 101 2
111 218 2
159 238 2
159 133 2
246 175 2
265 156 2
107 2 2
48 273 2
265 293 2
56 211 2
253 53 2
138 277 2
6 253 2
145 168 2
112 48 2
187 149 2
18 65 2
242 284 2
5 158 2
194 250 2
111 33 2
166 63 2
16 256 2
259 258 2
151 113 2
54 173 2
144 258 2
221 259 2
75 207 2
122 137 2
223 128 2
16 110 2
289 263 2
61 148 2
29 108 2
17 287 2
102 224 2
48 258 2
79 142 2
1 135 2
153 168 2
202 191 2
194 44 2
52 282 2
270 183 2
253 238 2
240 88 2
63 99 2
95 74 2
49 33 2
245 54 2
175 87 2
206 276 2
17 65 2
81 158 2
198 26 2
30 137 2
56 285 2
201 114 2
107 108 2
275 173 2
261 238 2
54 236 2
65 187 2
83 282 2
7 60 2
147 105 2
71 77 2
95 214 2
177 92 2
95 118 2
197 203 2
197 277 2
150 204 2
291 108 2
118 29 2
187 216 2
9 33 2
112 217 2
256 228 2
165 145 2
291 168 2
44 48 2
24 280 2
200 204 2
193 239 2
61 52 2
145 132 2
241 186 2
177 205 2
126 256 2
286 154 2
72 232 2
120 149 2
